cust_num,DMA,geo_demog_desc,comment_ind,prod_flg_10,prod_flg_11,tenure_months,dc_flg,cpe_cnt,svc_flg_01,svc_flg_02,prod_flg_01,prod_flg_02,prod_flg_03,prod_flg_04,prod_flg_05,prod_flg_06,prod_flg_07,prod_flg_08,prod_flg_09,prior_retention_handling_cnt,prior_escalations_cnt,prior_sprvsr_cnt,addl_cpe_cnt,prior_bill_credit_cnt,prior_bill_calls,prior_gen_Q_cnt,prior_svc_change_cnt,contract_flg,delta_metric_01,prior_reconnect_cnt,credit_score,vol_disco_ind,acct_type,product
37825091,Utica NY,PARK BENCH SENIORS,1,0,0,6,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,0,0,,0,T026,P0002
396500,Memphis TN,SUBURBAN PIONEERS,1,0,0,139,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,,0,T019,P0003
2008505,Charlotte NC,HEARTLANDERS,1,0,0,128,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,N,0,0,,0,T019,P0003
4946695,Los Angeles CA,HOMETOWN RETIRED,1,0,0,8,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N,0,0,804,0,T019,P0003
5698562,New York NY,URBAN ELDERS,1,0,0,8,Y,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,N,8.98,0,831,0,T019,P0003
6300648,Los Angeles CA,BIG CITY BLUES,1,0,0,4,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,N,0,0,997,0,T019,P0003
6306487,Los Angeles CA,GRAY POWER,1,0,0,4,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,N,0,0,,0,T019,P0003
7197500,San Francisco-Oakland-San Jose CA,"BIG FISH, SMALL POND",1,0,0,38,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,N,0,0,997,0,T019,P0003
7805028,Orlando-Daytona FL,FAST-TRACK FAMILIES,1,0,0,3,Y,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,996,0,T019,P0003
9808454,New York NY,BOHEMIAN MIX,1,0,0,3,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,N,0,0,989,0,T019,P0003
9991969,Richmond-Petersburg VA,MAYBERRY-VILLE,1,0,0,3,N,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,997,1,T019,P0003
10253105,Indianapolis IN,MOVERS & SHAKERS,1,0,0,84,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,N,0,0,,0,T019,P0003
11000064,San Francisco-Oakland-San Jose CA,YOUNG DIGERATI,1,0,0,8,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,999,1,T019,P0003
12321201,Las Vegas NV,THE COSMOPOLITANS,1,0,0,8,Y,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,999,0,T019,P0003
15685784,Los Angeles CA,MONEY & BRAINS,1,0,0,78,Y,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,N,0,2,,1,T019,P0003
17641225,El Paso TX,KIDS & CUL-DE-SACS,1,0,0,7,Y,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,5.99,0,999,0,T019,P0003
21186533,Sacramento-Stockton-Modesto CA,SUBURBAN SPRAWL,1,0,0,3,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,N,0,0,999,0,T019,P0003
21634189,San Francisco-Oakland-San Jose CA,YOUNG DIGERATI,1,0,0,3,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,N,0,0,998,0,T019,P0003
23692500,Chicago IL,NEW EMPTY NEST,1,0,0,6,Y,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,N,0,0,982,0,T019,P0003
24221469,Washington DC - Hagerstown MD,"BRITE LITES, LITTLE CITY",1,0,0,43,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,N,-4.99,0,,0,T019,P0003
